fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,type
7.4,0.7,0.0,1.9,76,11.0,34.0,9.978,3.51,0.56,red
7.8,0.88,0.0,2.6,98,25.0,67.0,9.968,3.2,0.68,red
7.8,0.76,0.04,2.3,92,15.0,54.0,997,3.26,0.65,red
11.2,0.28,0.56,1.9,75,17.0,60.0,998,3.16,0.58,red
7.4,0.7,0.0,1.9,76,11.0,34.0,9.978,3.51,0.56,red
7.4,0.66,0.0,1.8,75,13.0,40.0,9.978,3.51,0.56,red
7.9,0.6,0.06,1.6,69,15.0,59.0,9.964,3.3,0.46,red
7.3,0.65,0.0,1.2,65,15.0,21.0,9.946,3.39,0.47,red
7.8,0.58,0.02,2.0,73,9.0,18.0,9.968,3.36,0.57,red
7.5,0.5,0.36,6.1,71,17.0,102.0,9.978,3.35,0.8,red
6.7,0.58,0.08,1.8,97,15.0,65.0,9.959,3.28,0.54,red
7.5,0.5,0.36,6.1,71,17.0,102.0,9.978,3.35,0.8,red
5.6,615,0.0,1.6,89,16.0,59.0,9.943,3.58,0.52,red
7.8,0.61,0.29,1.6,114,9.0,29.0,9.974,3.26,1.56,red
8.9,0.62,0.18,3.8,176,52.0,145.0,9.986,3.16,0.88,red
8.9,0.62,0.19,3.9,0.17,51.0,148.0,9.986,3.17,0.93,red
8.5,0.28,0.56,1.8,92,35.0,103.0,9.969,3.3,0.75,red
8.1,0.56,0.28,1.7,368,16.0,56.0,9.968,3.11,1.28,red
7.4,0.59,0.08,4.4,86,6.0,29.0,9.974,3.38,0.5,red
7.9,0.32,0.51,1.8,341,17.0,56.0,9.969,03.04,01.08,red
8.9,0.22,0.48,1.8,77,29.0,60.0,9.968,3.39,0.53,red
7.6,0.39,0.31,2.3,82,23.0,71.0,9.982,3.52,0.65,red
7.9,0.43,0.21,1.6,106,10.0,37.0,9.966,3.17,0.91,red
8.5,0.49,0.11,2.3,84,9.0,67.0,9.968,3.17,0.53,red
6.9,0.4,0.14,2.4,85,21.0,40.0,9.968,3.43,0.63,red
6.3,0.39,0.16,1.4,0.08,11.0,23.0,9.955,3.34,0.56,red
7.6,0.41,0.24,1.8,0.08,4.0,11.0,9.962,3.28,0.59,red
7.9,0.43,0.21,1.6,106,10.0,37.0,9.966,3.17,0.91,red
7.1,0.71,0.0,1.9,0.08,14.0,35.0,9.972,3.47,0.55,red
7.8,645,0.0,2.0,82,8.0,16.0,9.964,3.38,0.59,red
6.7,675,0.07,2.4,89,17.0,82.0,9.958,3.35,0.54,red
6.9,685,0.0,2.5,105,22.0,37.0,9.966,3.46,0.57,red
8.3,655,0.12,2.3,83,15.0,113.0,9.966,3.17,0.66,red
6.9,605,0.12,10.7,73,40.0,83.0,9.993,3.45,0.52,red
5.2,0.32,0.25,1.8,103,13.0,50.0,9.957,3.38,0.55,red
7.8,645,0.0,5.5,86,5.0,18.0,9.986,3.4,0.55,red
7.8,0.6,0.14,2.4,86,3.0,15.0,9.975,3.42,0.6,red
8.1,0.38,0.28,2.1,66,13.0,30.0,9.968,3.23,0.73,red
5.7,1.13,0.09,1.5,172,7.0,19.0,994,3.5,0.48,red
7.3,0.45,0.36,5.9,74,12.0,87.0,9.978,3.33,0.83,red
7.3,0.45,0.36,5.9,74,12.0,87.0,9.978,3.33,0.83,red
8.8,0.61,0.3,2.8,88,17.0,46.0,9.976,3.26,0.51,red
7.5,0.49,0.2,2.6,332,8.0,14.0,9.968,3.21,0.9,red
8.1,0.66,0.22,2.2,69,9.0,23.0,9.968,3.3,1.2,red
6.8,0.67,0.02,1.8,0.05,5.0,11.0,9.962,3.48,0.52,red
4.6,0.52,0.15,2.1,54,8.0,65.0,9.934,3.9,0.56,red
7.7,935,0.43,2.2,114,22.0,114.0,997,3.25,0.73,red
8.7,0.29,0.52,1.6,113,12.0,37.0,9.969,3.25,0.58,red
6.4,0.4,0.23,1.6,66,5.0,12.0,9.958,3.34,0.56,red
5.6,0.31,0.37,1.4,74,12.0,96.0,9.954,3.32,0.58,red
8.8,0.66,0.26,1.7,74,4.0,23.0,9.971,3.15,0.74,red
6.6,0.52,0.04,2.2,69,8.0,15.0,9.956,3.4,0.63,red
6.6,0.5,0.04,2.1,68,6.0,14.0,9.955,3.39,0.64,red
8.6,0.38,0.36,3.0,81,30.0,119.0,997,3.2,0.56,red
7.6,0.51,0.15,2.8,0.11,33.0,73.0,9.955,3.17,0.63,red
7.7,0.62,0.04,3.8,84,25.0,45.0,9.978,3.34,0.53,red
10.2,0.42,0.57,3.4,0.07,4.0,10.0,9.971,03.04,0.63,red
7.5,0.63,0.12,5.1,111,50.0,110.0,9.983,3.26,0.77,red
